year,month,social_buzz,search_interest,influencer_posts,price_index,sustainability_score,trend_momentum,season_spring,season_summer,season_winter,category_denim,category_formal,category_luxury,category_streetwear,category_sustainable,category_vintage,region_EU,region_LATAM,region_NA
2021,11,-0.26224685853694674,58.62337876870896,5.975211447297768,84.45618158777215,0.6522219148830679,0.5377837069011182,False,False,False,False,False,False,False,False,True,False,False,False
2024,5,-0.2736150547046242,58.930802809682035,18.586671441906223,99.42540717269249,0.43186467649684274,-1.3073595861552483,True,False,False,False,False,True,False,False,False,False,False,False
2018,8,0.6849545566550082,47.60491875766278,9.12148480012484,116.14297105186115,0.5137545456001662,-0.5679684573180702,False,True,False,False,False,False,False,False,True,True,False,False
2024,2,-1.470215622097479,39.07078456191072,10.220464341045691,118.82079746515657,0.4977839356117295,0.6789134576286263,False,False,True,False,False,False,False,False,False,False,False,False
2019,3,-0.2795911535175272,62.8909413573563,14.74357972699395,107.01655278000975,0.804207137076488,2.4239185656551037,True,False,False,False,False,True,False,False,False,True,False,False
2021,1,0.1609421366160508,42.48019710922583,8.728065292591285,88.57770265616168,0.31155944687591164,0.8167371741503242,False,False,True,False,False,False,False,False,False,True,False,False
2019,6,0.6761373847768578,41.3600914664934,12.977546311826746,91.59966846844374,0.6435585186483641,0.45972070204276977,False,True,False,True,False,False,False,False,False,False,False,True
2017,3,0.6953771478606484,52.79323793537202,8.92849563083226,117.33477964403133,0.5398721462322534,-1.5392106175145166,True,False,False,False,False,False,False,False,False,False,False,False
2018,9,-0.1125699069679908,50.236455346276884,5.0436462560857995,79.96648064282967,0.30799173492522547,-0.1306110812312659,False,False,False,True,False,False,False,False,False,True,False,False
2021,6,0.2294564744446623,8.466901678034567,11.242804686410748,107.97151449730168,0.7538454402478538,1.9718379250836606,False,True,False,False,True,False,False,False,False,True,False,False
2023,8,0.3898067205385225,58.28901770531925,12.659738517345426,92.77294499863665,0.6330545405951433,-1.7484009322633238,False,True,False,False,False,False,True,False,False,False,False,False
2019,9,0.20336452469571042,65.47119594411058,11.986855504057278,91.76568866959695,0.5865576975259446,-0.8406610322876337,False,False,False,True,False,False,False,False,False,False,False,False
2025,6,-2.6669174780328975,59.37812389399856,14.775595828866559,87.1933336860527,0.22216633097149047,-0.09924241072697185,False,True,False,False,False,False,False,False,True,False,False,True
2025,5,-0.24761303312442595,56.10241782243763,14.84503507259585,101.31654756307984,0.30413443163591747,-1.377006297738727,True,False,False,False,False,False,False,True,False,False,False,False
